Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
DOE4-61,DOE4,61,1389.8,113.3,0.812,17403.3,0.258,7.9,0.066,0.741,0.461,0.685
DOE4-59,DOE4,59,1252.9,103.2,0.816,8929.6,0.3,7,0.093,0.718,0.476,0.694
DOE4-92,DOE4,92,1291,100.5,0.813,10656,0.298,9.5,0.121,0.677,0.406,0.561
DOE4-66,DOE4,66,1910.6,158.2,0.808,96671,0.261,8.4,0.07,0.62,0.572,0.595
DOE4-50,DOE4,50,2105.5,174,0.81,141155.7,0.254,8.8,0.066,0.597,0.508,0.568
DOE4-68,DOE4,68,2156.8,183.9,0.801,198736.5,0.243,8.8,0.068,0.616,0.528,0.523
DOE4-57,DOE4,57,1551.4,131.8,0.81,63426.7,0.3,6.6,0.082,0.647,0.635,0.745
DOE4-32,DOE4,32,1944,164.1,0.8,154873.2,0.253,8.4,0.075,0.63,0.605,0.624
DOE4-35,DOE4,35,1593.2,125.3,0.812,33085.2,0.271,9.7,0.099,0.638,0.392,0.564
DOE4-69,DOE4,69,1574.3,154.8,0.824,75947.9,0.33,9.9,0.167,0.417,0.58,0.605
DOE4-56,DOE4,56,1387.8,113.8,0.813,17268.3,0.26,8,0.075,0.739,0.451,0.653
DOE4-51,DOE4,51,1982.6,165.2,0.813,116695.1,0.257,8.9,0.065,0.62,0.572,0.586
DOE4-58,DOE4,58,2174,181,0.802,174599.2,0.238,9.1,0.068,0.612,0.566,0.58
DOE4-67,DOE4,67,1274.6,104.4,0.813,12116.5,0.288,7.8,0.085,0.726,0.422,0.631
DOE4-60,DOE4,60,1283.4,108,0.809,12431.7,0.278,7.4,0.085,0.743,0.459,0.679
DOE4-34,DOE4,34,1454,120.1,0.81,27187,0.283,9.3,0.104,0.667,0.414,0.558
